run_id,instance_file,ls_method,refinement_heuristics,neighborhoods,initial_method,seed,initial_benefit,final_benefit,improvement,improvement_pct,capacity_remaining,time,evaluations,timestamp
local_search_83,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,22,8107,11279,3172,39.126680646355,2,13.868923664093018,9734,2025-10-05T15:02:40.091184
local_search_84,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,23,8107,11279,3172,39.126680646355,2,11.866198062896729,7926,2025-10-05T15:02:51.960530
local_search_85,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,24,8107,11158,3051,37.634143332922164,21,29.55822491645813,20602,2025-10-05T15:03:21.522029
local_search_86,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,25,8107,10652,2545,31.39262365856667,0,25.18856644630432,17311,2025-10-05T15:03:46.714318
local_search_87,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,26,8107,10952,2845,35.09312939435056,9,16.431426286697388,11153,2025-10-05T15:04:03.148980
local_search_88,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,27,8107,11319,3212,39.620081411126186,48,27.608100414276123,19311,2025-10-05T15:04:30.760350
local_search_89,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,28,8107,10689,2582,31.849019365980016,51,17.78772497177124,11998,2025-10-05T15:04:48.550892
local_search_90,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,"['random_best_step', 'first_best_step']","['flip_bit', 'swap_bits']",create_ratio_greedy_solution,29,8107,10553,2446,30.171456765757988,1,12.929011821746826,8932,2025-10-05T15:05:01.483569
local_search_91,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,0,8107,8107,0,0.0,58,0.12961578369140625,89,2025-10-05T15:05:01.647474
local_search_92,input/prob-software-85-100-812-12180.txt,variable_neighborhood_descent,['absolute_best_step'],['flip_bit'],create_ratio_greedy_solution,1,8107,8107,0,0.0,58,0.12130594253540039,89,2025-10-05T15:05:01.772128
