run_id,instance_file,run_seed,solution,benefit,initial_sol,initial_sol_neighborhood,generations,elite_number,parents_per_generation,parents_survive,parent_selection,two_offsprings,crossover_points,mutation_rate,mutations_per_gene,start_time,time,evaluations,capacity_used,timestamp
genetic_algorithm_40,input/sukp29_500_485_0.15_0.85.txt,3,98723559240462584674942981699182031903634271890989171702645158110186047180896908173400743554143708481167709508695335310707400988867098464822378335,233,98723559241552842761386082185046697353858155498580680339338444554366596695447918526113003953641815012064829580900781329243144664380583121954160479,[],20,1,100,True,tournament,True,[],0.01,1,1760322404.3436964,193.6510989665985,4200,67045,2025-10-12T23:29:57.995296
genetic_algorithm_41,input/prob-software-85-100-812-12180.txt,8,1187484310723381747497439849967,8024,1167672386246687048975712546287,[],20,1,100,True,tournament,True,[],0.01,1,1760322887.352323,7.308938503265381,4200,12168,2025-10-12T23:34:54.661417
genetic_algorithm_42,input/sukp03_100_100_0.10_0.75.txt,5,861606260258966859805311106919,10680,861489605558285231493332399003,[],20,1,100,True,tournament,True,[],0.01,1,1760322894.808534,9.165030479431152,4200,11246,2025-10-12T23:35:03.973751
genetic_algorithm_43,input/sukp06_200_200_0.10_0.75.txt,4,1167534679058141564973180719655349942465480495490646317416447,2268,1167534487496198945608138614712679101711628916907519024005119,[],20,1,100,True,tournament,True,[],0.01,1,1760322904.1216156,29.505704879760742,4200,25247,2025-10-12T23:35:33.627559
genetic_algorithm_44,input/sukp12_400_400_0.10_0.75.txt,4,2419440324861595917751869628090595345827263219467118031046850763583403612669841245555924207695864845252931405904030199551,513,2419440324861595917751871758926900650962742919789727635295426322715058073952293435464255529973843834695637841134135013119,[],20,1,100,True,tournament,True,[],0.01,1,1760322933.7464714,114.33959293365479,4200,49362,2025-10-12T23:37:28.086454
genetic_algorithm_45,input/sukp18_100_100_0.15_0.85.txt,4,1089377561983982726425803227123,10869,1101378569183289650901753528191,[],20,1,100,True,tournament,True,[],0.01,1,1760323048.5954702,9.32468056678772,4200,15308,2025-10-12T23:37:37.920294
genetic_algorithm_46,input/sukp24_300_300_0.15_0.85.txt,4,1908602249523702563089219648375716875407849038292174061720668231837143426160103658977703935,1120,1908602249523702740436492090509377260416347319861870545999159514969880100697013747040598015,[],20,1,100,True,tournament,True,[],0.01,1,1760323058.0295029,66.76544642448425,4200,44214,2025-10-12T23:38:44.795237
genetic_algorithm_47,input/prob-software-85-100-812-12180.txt,9,1247214814170641738578465382397,8307,1247218771587397274546516779004,[],20,1,100,True,tournament,True,[],0.01,1,1760323397.9472845,7.8368847370147705,4200,12318,2025-10-12T23:43:25.784317
genetic_algorithm_48,input/sukp03_100_100_0.10_0.75.txt,6,1187782292449647549519102738415,7360,434978706672457749803292393203,[],20,1,100,True,tournament,True,[],0.01,1,1760323405.9233363,8.245546340942383,4200,11195,2025-10-12T23:43:34.168996
genetic_algorithm_49,input/sukp06_200_200_0.10_0.75.txt,5,292862947579858125629041783678116332804001834399620499624859,2080,294922621586781880254675526671238964448688939306984559989659,[],20,1,100,True,tournament,True,[],0.01,1,1760323414.325132,26.540236473083496,4200,24580,2025-10-12T23:44:00.865574
genetic_algorithm_50,input/sukp12_400_400_0.10_0.75.txt,5,218680958746520976527719388771288008881136019079044000751087947912240211296985399632842859290623679507784103415858068471,422,218680958662638849313314996420181217923853965204106804330735211802219531419951903811112331613133646145492548427510184951,[],20,1,100,True,tournament,True,[],0.01,1,1760323440.9903436,103.354079246521,4200,48661,2025-10-12T23:45:44.344891
genetic_algorithm_51,input/sukp18_100_100_0.15_0.85.txt,5,1188383144080710845666061910011,10776,1178479626867800169384814509979,[],20,1,100,True,tournament,True,[],0.01,1,1760323544.7274795,9.987697839736938,4200,15122,2025-10-12T23:45:54.715334
genetic_algorithm_52,input/sukp24_300_300_0.15_0.85.txt,5,747911966963845545028323785911648911795414645612990895175812340304243584838731089605291997,934,747911966963845545249179669008946954507115059451522364071022413761089611835608082310627295,[],20,1,100,True,tournament,True,[],0.01,1,1760323554.8197558,74.19649338722229,4200,45031,2025-10-12T23:47:09.016513
