instance_file,run_id,method_inferred,benefit,time,_source_file,Solution,alpha,beta,biggest_first,capacity_remaining,capacity_used,crossover_points,elite_number,evaluations,final_temp,first_solution,gamma,generations,ils_max_tries,improvement,improvement_pct,initial_benefit,initial_method,initial_sol,initial_sol_neighborhood,initial_temp,ls_max_tries,ls_method,method,mutation_rate,mutations_per_gene,neighborhood_names,neighborhoods,parameters,params,parent_selection,parents_per_generation,parents_survive,perturbation,refinement_heuristics,run_finding_initial_temp,run_seed,seed,solution,start_time,starting_find_temp,timestamp,two_offsprings
input/sukp03_100_100_0.10_0.75.txt,constructive_1852,create_dep_size_greedy_solution,9351,0.0008497238159179,constructive.csv,,,,,,11218,,,1,,,,,,,,,,,,,,,create_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,,,,,2025-10-15T21:26:27.497720,
input/sukp03_100_100_0.10_0.75.txt,constructive_1855,create_num_pack_greedy_solution,6722,0.0008888244628906,constructive.csv,,,,,,11214,,,1,,,,,,,,,,,,,,,create_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,,,,,2025-10-15T21:26:27.514143,
input/sukp03_100_100_0.10_0.75.txt,constructive_1853,create_pack_benefit_greedy_solution,6129,0.0005736351013183,constructive.csv,,,,,,11208,,,1,,,,,,,,,,,,,,,create_pack_benefit_greedy_solution,,,,,,biggest_first=True,,,,,,,,,,,,2025-10-15T21:26:27.501900,
input/sukp03_100_100_0.10_0.75.txt,constructive_1899,create_randomic_solution,5179,8.463859558105469e-05,constructive.csv,,,,,,11193,,,1,,,,,,,,,,,,,,,create_randomic_solution,,,,,,biggest_first=False,,,,,,,,12.0,,,,2025-10-15T21:26:27.641318,
input/sukp03_100_100_0.10_0.75.txt,constructive_2027,create_randomized_dep_size_greedy_solution,6092,0.0002524852752685,constructive.csv,,,,,,11219,,,1,,,,,,,,,,,,,,,create_randomized_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,20.0,,,,2025-10-15T21:26:27.989286,
input/sukp03_100_100_0.10_0.75.txt,constructive_2108,create_randomized_num_pack_greedy_solution,7267,0.0004928112030029,constructive.csv,,,,,,11218,,,1,,,,,,,,,,,,,,,create_randomized_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,11.0,,,,2025-10-15T21:26:28.201619,
input/sukp03_100_100_0.10_0.75.txt,constructive_2091,create_randomized_pack_benefit_greedy_solution,10170,0.0007445812225341,constructive.csv,,,,,,11196,,,1,,,,,,,,,,,,,,,create_randomized_pack_benefit_greedy_solution,,,,,,biggest_first=False,,,,,,,,24.0,,,,2025-10-15T21:26:28.158553,
input/sukp03_100_100_0.10_0.75.txt,constructive_1932,create_randomized_ratio_greedy_solution,7286,0.0006780624389648,constructive.csv,,,,,,11198,,,1,,,,,,,,,,,,,,,create_randomized_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,15.0,,,,2025-10-15T21:26:27.724585,
input/sukp03_100_100_0.10_0.75.txt,constructive_1849,create_ratio_greedy_solution,11654,0.0016682147979736,constructive.csv,,,,,,11122,,,1,,,,,,,,,,,,,,,create_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,,,,,2025-10-15T21:26:27.465801,
input/sukp06_200_200_0.10_0.75.txt,simulated_annealing_132,<unknown>,10104,46.06769108772278,simulated_annealing.csv,,0.95,2.0,,,25618,,,19999,8.610391386440295e-221,random,0.9,,,,,,,,,500.0,,,,,,,,,,,,,,,False,20,,1531600562651535338782121663166517454653422416665813299429339,1760385470.1338573,500.0,2025-10-13T16:58:36.201599,
